id,address,price,square_feet,bedrooms,bathrooms,avail_stat,area_id,latitude,longitude,img_url
63,"4212 Candle Ct, Merced, CA 95348",569000,2245,4,3,Availible ,6,37.34323064,-120.4835267,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=flsxNA0A7LTDg8WC8quN2A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=115.14798&pitch=0&thumbfov=100
64,"4076 Remy Court St, Merced, CA 95348",599900,3576,6,4,Availible ,6,37.34291984,-120.4910811,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=afXjtIbBFUdOHhM_CKxdDg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=110.96719&pitch=0&thumbfov=100
65,"4059 St Remy Ct, Merced, CA 95348",648999,3576,6,4,Availible ,6,37.34253387,-120.4915371,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=L2v1enP5OAaJnbQUFIKsOA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=270.19174&pitch=0&thumbfov=100
66,"1205 Wildcat Dr, Merced, CA 95348",590000,3195,5,3,Availible ,6,37.33832947,-120.491858,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=QmzLST23ol0T7VwuuHEETA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=11.880166&pitch=0&thumbfov=100
67,"3491 San Francisco St, Merced, CA 95348",9000000,3545,8,7,Availible ,6,37.32851112,-120.4938473,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=JKW_yXRZPsyv5R-LVaqmqw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=274.56604&pitch=0&thumbfov=100
68,"1370 Dynes St, Merced, CA 95348",559000,2460,6,3,Availible ,6,37.33723206,-120.498104,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Fj0_MgPPjZgkDlbBnrqFhA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=184.79022&pitch=0&thumbfov=100
69,"3803 Twilight Ave, Merced, CA 95348",520000,3545,4,3,Availible ,6,37.3361415,-120.4892672,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=44SCISJu5zBvaLIu32gbWA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=244.53468&pitch=0&thumbfov=100
70,"3763 Larkspur Ave, Merced, CA 95348",339000,1272,3,3,Availible ,6,37.33501677,-120.4928152,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=gaOt_KYL1qo2FAtY2k8IPw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=291.13843&pitch=0&thumbfov=100
71,"1243 Esplanade Dr, Merced, CA 95348",525000,2663,5,3,Availible ,6,37.33171314,-120.4928662,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=FdCEWnt5t305IZWr9hUqdw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=4.0846004&pitch=0&thumbfov=100
72,"1298 Esplanade Dr, Merced, CA 95348",599900,2819,6,4,Availible ,6,37.33117284,-120.4949568,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=mzhT5j0KbR8wlXU47kcrCw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=167.29251&pitch=0&thumbfov=100
73,"1129 Julie Dr, Merced, CA 95348",394500,1696,3,2,Availible ,6,37.31731367,-120.487832,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=OA0ygA5RcxkaTKRq2fGcQA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=354.412&pitch=0&thumbfov=100
74,"2952 Dillon Ln, Merced, CA 95348",344000,1632,3,3,Availible ,6,37.31518457,-120.4961806,https://maps.gstatic.com/tactile/pane/default_geocode-1x.png
75,"2479 S South St, Merced, CA 95341",350000,1529,2,1,Availible ,6,37.31313697,-120.4897023,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=1_iuUrXsrHTGhGVONYkKBA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=308.648&pitch=0&thumbfov=100
76,"1528 W 22nd St, Merced, CA 95340",335000,1403,4,2,Availible ,6,37.31199367,-120.4963598,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Zxc43TOLKQy-bJOeNEDHoQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=201.01608&pitch=0&thumbfov=100
77,"1520 W 22nd St, Merced, CA 95340",315000,1720,3,2,Availible ,6,37.3119356,-120.4961715,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=2d4jgiYcmiXfA7F5SGb-Cg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=186.67805&pitch=0&thumbfov=100
78,"913 W 22nd St, Merced, CA 95340",88000,500,3,2,Availible ,6,37.3092162,-120.4866547,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=vBkwqScdXZteivP7Vlz3Jw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=28.804976&pitch=0&thumbfov=100
79,"1909 P St, Merced, CA 95340",1200000,550,3,2,Availible ,6,37.30613424,-120.4882426,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=of1jnCNGFnuSZnK9x3IcdA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=274.85345&pitch=0&thumbfov=100
